Name,Username,Joining,Following,Followers,Posts,Banner,Profile,Article 1,Article 2,Article 3,Article 4,Article 5
Elon Musk,@elonmusk,Jun-09,738,196.4M,50.7K,https://www.X.com/elonmusk/header_photo,https://www.X.com/elonmusk/photo,"A Trump victory is essential to defense of freedom of speech, secure borders, safe cities and sensible spending!","NEW POLLS SHOW TRUMP LEADING IN KEY BATTLEGROUND STATESFresh Polls by Trafalgar and Insider Advantage from seven battleground states suggest Trump could win the election with 296 electoral votes:

- Michigan: Trump leads 47% to 46.6%.

- Pennsylvania: Trump ahead 47% to",Next I’m buying Coca-Cola to put the cocaine back in,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Let’s make Twitter maximum fun!
Barack Obama,@BarackObama,Mar-07,539.3K,131.8M,17K,https://www.X.com/BarackObama/header_photo,https://www.X.com/BarackObama/photo,"""No one is born hating another person because of the color of his skin or his background or his religion...""",Kobe was a legend on the court and just getting started in what would have been just as meaningful a second act. To lose Gianna is even more heartbreaking to us as parents. Michelle and I send love and prayers to Vanessa and the entire Bryant family on an unthinkable day.,"Congratulations to my friend, President@JoeBiden! This is your time.","In every scene, you are my star,@MichelleObama! Happy birthday, baby!","Happy birthday to my love, my partner, and my best friend. Every moment with you is a blessing. Love you, Miche."
Cristiano Ronaldo,@Cristiano,Jun-10,69,112.8M,"4,140",https://www.X.com/Cristiano/header_photo,https://www.X.com/Cristiano/photo,My life,Forever Love…,Victory is a State of Mind. A long tradition of crafting trunks photographed by@annieleibovitzfor@LouisVuitton,,
Justin Bieber,@justinbieber,Mar-09,272.8K,110.3M,31.1K,https://www.X.com/justinbieber/header_photo,https://www.X.com/justinbieber/photo,@Diane_Keaton,Happy bday#JUNGKOOK. They ain’t ready :) now watch this tweet go crazy,I want my friend out.. I appreciate you trying to help him. But while your at it@realDonaldTrumpcan you also let those kids out of cages?,Never say never,#PrayforManchester
Rihanna,@rihanna,Oct-09,967,108.2M,10.7K,https://www.X.com/rihanna/header_photo,https://www.X.com/rihanna/photo,.,my perfect baby!!!@britishvogue@inezandvinoodh,happy friday,CountEveryVoteWe’llWait .,@BritishVoguemarch 2023 issue
KATY PERRY,@katyperry,Feb-09,244,106.1M,12K,https://www.X.com/katyperry/header_photo,https://www.X.com/katyperry/photo,"143
THE ALBUM
SEPTEMBER 20TH
PRE-ORDER NOWhttp://KatyPerry.com",This what I meanthttps://x.com/FLICTERIA/stat/FLICTERIA/status/1105396666310496256…,"WOMAN’S WORLD
SONG JULY 11 
VIDEO JULY 12
PRE-SAVE + PRE-ORDER 
GET READY TO POP OFFhttp://KATYPERRY.COM",it’s TIME for fresh FRUTA!@kpcollections,I love you guyyyysss
Narendra Modi,@narendramodi,Jan-09,"2,670",101.6M,43.5K,https://www.X.com/narendramodi/header_photo,https://www.X.com/narendramodi/photo,Congratulations to Deepthi Jeevanji for her spectacular Bronze medal win in the Women's 400M T20 at#Paralympics2024! She is a source of inspiration for countless people. Her skills and tenacity are commendable.#Cheer4Bharat,Telah berkunjung ke Masjid Omar Ali Saifuddien di Brunei.,Went to the Omar Ali Saifuddien Mosque in Brunei.,"Merasa gembira untuk merasmikan Chancery Suruhanjaya Tinggi India yang baharu, ia menunjukkan hubungan kami yang lebih kukuh dengan Negara Brunei Darussalam. Ini juga akan memberi perkhidmatan kepada warga India di Brunei Darussalam.","Delighted to inaugurate the new Chancery of the High Commission of India, indicative of our stronger ties with Brunei Darussalam. This will also be serving our diaspora."
Taylor Swift,@taylorswift13,Dec-08,0,95.2M,858,https://www.X.com/taylorswift13/header_photo,https://www.X.com/taylorswift13/photo,"The Tortured Poets Department. An anthology of new works that reflect events, opinions and sentiments from a fleeting and fatalistic moment in time - one that was both sensational and sorrowful in equal measure. This period of the author’s life is now over, the chapter closed and","After stoking the fires of white supremacy and racism your entire presidency, you have the nerve to feign moral superiority before threatening violence? ‘When the looting starts the shooting starts’??? We will vote you out in November.@realdonaldtrump",get in the car it’s august,"Surprise!! 1989 (Taylor’s Version) is on its way to you! The 1989 album changed my life in countless ways, and it fills me with such excitement to announce that my version of it will be out October 27th. To be perfectly honest, this is my most FAVORITE re-record I’ve ever done",All’s fair in love and poetry... New album THE TORTURED POETS DEPARTMENT. Out April 19http://store.taylorswift.com: Beth Garrabrant
Donald J. Trump,@realDonaldTrump,Mar-09,51,90.2M,59.2K,https://www.X.com/realDonaldTrump/header_photo,https://www.X.com/realDonaldTrump/photo,http://DONALDJTRUMP.COM,"Tonight,@FLOTUSand I tested positive for COVID-19. We will begin our quarantine and recovery process immediately. We will get through this TOGETHER!","Going welI, I think! Thank you to all. LOVE!!!","I WON THIS ELECTION, BY A LOT!","I am asking for everyone at the U.S. Capitol to remain peaceful. No violence! Remember, WE are the Party of Law & Order – respect the Law and our great men and women in Blue. Thank you!"
Lady Gaga,@ladygaga,Mar-08,111.8K,83M,"9,991",https://www.X.com/ladygaga/header_photo,https://www.X.com/ladygaga/photo,Die With A SmileOUT NOW@BrunoMarshttp://GagaMars.lnk.to/DieWithASmile,What’s fortnight,A dove carrying an olive branch. May we all make peace with each other.,AAAAAAAAAAAAAHHHHHRHRGRGRGRRRGURBHJB EORWPSOJWPJORGWOIRGWSGODEWPGOHEPW09GJEDPOKSD!!!!!!!!!!!!!!!0924QU8T63095JRGHWPE09UJ0PWHRGW,earth is cancelled
